,Titulo,Año de estreno - Año finalización,Generos
367,Vicky Cristina Barcelona,2008,"Comedy, Drama, Romance"
368,Son como niños 2,2013,Comedy
369,Amor sin escalas,I) (2009,"Comedy, Drama, Romance"
370,Luca,2021,"Animation, Adventure, Comedy"
371,Tomorrow,2022– ,"Action, Comedy, Drama"
372,Toy Story,1995,"Animation, Adventure, Comedy"
373,Duro De Cuidar 2,2021,"Action, Comedy, Crime"
374,Hechizada,1964–1972,"Comedy, Family, Fantasy"
375,A la mierda el amor... otra vez,2022,"Comedy, Romance"
376,I Want You Back,2022,"Comedy, Romance"
377,Weeds,2005–2012,"Comedy, Crime, Drama"
378,Summer Rental,1985,Comedy
379,El ejército de los ladrones,2021,"Action, Comedy, Crime"
380,El duque,2020,"Biography, Comedy, Drama"
381,Sing: ¡Ven y canta!,2016,"Animation, Comedy, Family"
382,Black Clover,2017–2021,"Animation, Action, Adventure"
383,La mejor de mis bodas,1998,"Comedy, Music, Romance"
384,Bill & Ted salvando el universo,2020,"Adventure, Comedy, Music"
385,Aladdin,2019,"Adventure, Comedy, Family"
386,¡Shazam!,2019,"Action, Adventure, Comedy"
387,Raya y el último dragón,2021,"Animation, Action, Adventure"
388,La vida es bella,1997,"Comedy, Drama, Romance"
389,Shakespeare & Hathaway: Private Investigators,2018– ,"Comedy, Crime, Drama"
390,New Tricks,2003–2015,"Comedy, Crime, Drama"
391,Más notas perfectas,2015,"Comedy, Music"
392,Encantada,2007,"Animation, Adventure, Comedy"
393,Around the World in 80 Days,2021– ,"Adventure, Comedy"
394,Amigos intocables,2011,"Biography, Comedy, Drama"
395,Una esposa de mentira,2011,"Comedy, Romance"
396,Tully,2018,"Comedy, Drama, Mystery"
397,Mentiras verdaderas,1994,"Action, Comedy, Thriller"
398,Good Trouble,2019– ,"Comedy, Drama, Romance"
399,Papá por siempre,1993,"Comedy, Drama"
400,Milagro por un día,1961,"Comedy, Drama"
401,Dollface,2019–2022,Comedy
402,The End of the F***ing World,2017–2019,"Adventure, Comedy, Crime"
403,The Archies,2023,"Comedy, Drama, Musical"
404,The Other One,2017– ,Comedy
405,Lady Bird,2017,"Comedy, Drama"
406,El pelotón chiflado,1981,"Comedy, War"
407,Diabólica tentación,2009,"Comedy, Horror"
408,Medianoche en París,2011,"Comedy, Fantasy, Romance"
409,Jóvenes y rebeldes,1999–2000,"Comedy, Drama"
410,Una Ronda Más,2020,"Comedy, Drama"
411,S.O.S. Hay un loco suelto en el espacio,1987,"Adventure, Comedy, Sci-Fi"
412,Ocean's 8: las estafadoras,2018,"Action, Comedy, Crime"
413,Why Women Kill,2019– ,"Comedy, Crime, Drama"
414,Batman,1966–1968,"Action, Adventure, Comedy"
415,Harley Quinn,2019– ,"Animation, Action, Adventure"
416,Boston Legal,2004–2008,"Comedy, Crime, Drama"
417,En el corazón del sur,2011–2015,"Comedy, Drama, Romance"
418,L'iniziazione,1986,Comedy
419,Anything Goes,2021,"Comedy, Musical, Romance"
420,Intensa Mente,I) (2015,"Animation, Adventure, Comedy"
421,Belleza invaluable,2006,"Comedy, Drama, Romance"
422,El diablo viste a la moda,2006,"Comedy, Drama"
423,Un detective en el kinder,1990,"Action, Comedy, Crime"
424,Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
425,De amor y otras adicciones,2010,"Comedy, Drama, Romance"
426,Comando especial,2012,"Action, Comedy, Crime"
427,No hagan olas,1967,Comedy
428,Coco,I) (2017,"Animation, Adventure, Comedy"
429,The Other Guys,2010,"Action, Comedy, Crime"
430,Spreadsheet,2021– ,Comedy
431,Crossing Delancey,1988,"Comedy, Romance"
432,Estafadoras de Wall Street,2019,"Comedy, Crime, Drama"
433,Buscando a Nemo,2003,"Animation, Adventure, Comedy"
434,No es otra tonta película americana,2001,Comedy
435,The Middle,2009–2018,"Comedy, Family"
436,Fuerza Espacial,2020–2022,Comedy
437,La langosta,2015,"Comedy, Drama, Romance"
