,Titulo,Año de estreno - Año finalización,Generos
3312,Prison Break,2005–2017,"Action, Crime, Drama"
3313,Midhunter,2017–2019,"Crime, Drama, Mystery"
3314,Vampire in the Garden,2022– ,"Animation, Action, Adventure"
3315,Das Boot,2018– ,"Drama, War"
3316,Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
3317,El señor de los anillos: La comunidad del anillo,2001,"Action, Adventure, Drama"
3318,Llamen a la partera,2012– ,"Drama, History"
3319,Arrow,2012–2020,"Action, Adventure, Crime"
3320,Undone,2019– ,"Animation, Drama, Fantasy"
3321,Taxi Driver,1976,"Crime, Drama"
3322,Los justicieros,1993,"Biography, Drama, History"
3323,Snowpiercer,2020– ,"Action, Drama, Sci-Fi"
3324,The Good Place,2016–2020,"Comedy, Drama, Fantasy"
3325,Now and Then,2022– ,"Crime, Drama, Mystery"
3326,Bastardos sin gloria,2009,"Adventure, Drama, War"
3327,Homeland,2011–2020,"Crime, Drama, Mystery"
3328,Lobo Adolescente,2011–2017,"Action, Drama, Fantasy"
3329,Perdida,2014,"Drama, Mystery, Thriller"
3330,Thar,2022,"Action, Crime, Drama"
3331,Réquiem por un sueño,2000,Drama
3332,Nuevos policías,1987–1991,"Crime, Drama, Mystery"
3333,Fuego contra fuego,1995,"Action, Crime, Drama"
3334,El legado del diablo,2018,"Drama, Horror, Mystery"
3335,Buenos muchachos,1990,"Biography, Crime, Drama"
3336,Crash: Extraños placeres,1996,Drama
3337,El juego del calamar,2021– ,"Action, Drama, Mystery"
3338,Murdoch Mysteries,2008– ,"Crime, Drama, Mystery"
3339,Gladiador,2000,"Action, Adventure, Drama"
3340,The Owl House,2020– ,"Animation, Action, Adventure"
3341,¿Cómo sobrevivir a mi ex?,2008,"Comedy, Drama, Romance"
3342,Father of the Bride,2022,"Comedy, Drama, Fantasy"
3343,La lista de Schindler,1993,"Biography, Drama, History"
3344,Django sin cadenas,2012,"Drama, Western"
3345,Inside No. 9,2014– ,"Comedy, Crime, Drama"
3346,Amsterdam,2022,"Drama, History"
3347,Narcos,2015–2017,"Biography, Crime, Drama"
3348,Pretty Little Liars (Lindas Mentirosas),2010– ,"Drama, Mystery, Romance"
3349,Taboo,2017– ,"Drama, Mystery, Thriller"
3350,The White Lotus,2021–2022,"Comedy, Drama"
3351,Inhala,2001,"Biography, Crime, Drama"
3352,Sin lugar para los débiles,2007,"Crime, Drama, Thriller"
3353,Yegua de Easttown,2021,"Crime, Drama, Mystery"
3354,Black Sails,2014–2017,"Action, Adventure, Drama"
3355,All American,2018– ,"Drama, Sport"
3356,Rescatando al soldado Ryan,1998,"Drama, War"
3357,Misa de medianoche,2021,"Drama, Fantasy, Horror"
3358,Whiplash: Música y obsesión,2014,"Drama, Music"
3359,Poirot,1989–2013,"Crime, Drama, Mystery"
3360,Orgullo y prejuicio,2005,"Drama, Romance"
3361,Gambito de dama,2020,Drama
3362,The Punisher,2017–2019,"Action, Crime, Drama"
3363,24,2001–2010,"Action, Crime, Drama"
3364,Sombra y hueso,2021– ,"Action, Adventure, Drama"
3365,You Won't Be Alone,2022,"Drama, Horror"
3366,That '90s Show,,"Comedy, Drama, Romance"
3367,Father Brown,2013– ,"Crime, Drama, Mystery"
3368,Monk,2002–2009,"Comedy, Crime, Drama"
3369,Runway 34,2022,"Drama, Thriller"
3370,Line of Duty,2012–2021,"Crime, Drama, Mystery"
3371,El hombre invisible,I) (2020,"Drama, Horror, Mystery"
3372,El club de los cinco,1985,"Comedy, Drama"
3373,Apocalipsis,1979,"Drama, Mystery, War"
3374,Belfast,2021,"Biography, Drama"
3375,Hechiceras,1998–2006,"Drama, Fantasy, Mystery"
3376,Estación Once,2021–2022,"Adventure, Drama, Fantasy"
3377,Pálpito,2022– ,"Drama, Thriller"
3378,Un Lugar En Silencio Parte II,2020,"Drama, Horror, Sci-Fi"
3379,The Survivor,2021,"Biography, Drama, Sport"
3380,M.A.S.H.,1972–1983,"Comedy, Drama, War"
3381,Érase una vez en América,1984,"Crime, Drama"
3382,Pistol,2022– ,"Biography, Drama, Music"
3383,El gran showman,2017,"Biography, Drama, Musical"
3384,Dune: Part Two,2023,"Action, Adventure, Drama"
3385,Los marginados,1983,"Crime, Drama"
3386,1917,2019,"Action, Drama, War"
3387,Columbo,1971–2003,"Crime, Drama, Mystery"
3388,Mente indomable,1997,"Drama, Romance"
3389,La Leyenda Del Caballero Verde,2021,"Adventure, Drama, Fantasy"
3390,Orphan Black,2013–2017,"Drama, Sci-Fi, Thriller"
3391,Un equipo muy especial,1992,"Comedy, Drama, Sport"
3392,Los originales,2013–2018,"Drama, Fantasy, Horror"
3393,Intriga,2013,"Crime, Drama, Mystery"
3394,DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
3395,Mujercitas,2019,"Drama, Romance"
3396,Criaturas salvajes,1998,"Crime, Drama, Mystery"
3397,Titane,2021,"Drama, Horror, Sci-Fi"
3398,Spartacus,2010–2013,"Action, Adventure, Biography"
3399,Troya,2004,"Drama, History"
3400,After: aquí empieza todo,I) (2019,"Drama, Romance"
3401,How to Get Away with Murder,2014–2020,"Crime, Drama, Mystery"
3402,The West Wing,1999–2006,Drama
3403,Outer Banks,2020– ,"Action, Crime, Drama"
3404,Esposas desesperadas,2004–2012,"Comedy, Drama, Mystery"
3405,El resplandor,1980,"Drama, Horror"
3406,Big Little Lies,2017–2019,"Crime, Drama, Mystery"
3407,Cheers,1982–1993,"Comedy, Drama"
3408,El perfecto asesino,1994,"Action, Crime, Drama"
3409,FBI: International,2021– ,"Action, Adventure, Crime"
3410,Resident Alien,2021– ,"Comedy, Drama, Mystery"
3411,That '70s Show,1998–2006,"Comedy, Drama, Romance"
3412,Hasta el último hombre,2016,"Biography, Drama, History"
3413,Gotham Knights,2023– ,Drama
3414,Silent Witness,1996– ,"Crime, Drama, Mystery"
3415,Private Property,2022,"Drama, Thriller"
3416,House of Cards,2013–2018,Drama
3417,Super Pumped: La batalla por Uber,2022– ,"Biography, Drama"
3418,El silencio de los inocentes,1991,"Crime, Drama, Thriller"
3419,Rendirse jamás,2008,"Action, Drama, Sport"
3420,El buen mentiroso,2019,"Crime, Drama, Mystery"
3421,Jojo Rabbit,2019,"Comedy, Drama, War"
3422,Casino,1995,"Crime, Drama"
3423,Milagros inesperados,1999,"Crime, Drama, Fantasy"
3424,Emma.,2020,"Comedy, Drama, Romance"
3425,When Calls the Heart,2014– ,"Drama, Romance"
3426,Aniquilación,I) (2018,"Adventure, Drama, Horror"
3427,Watcher,2022,"Drama, Horror, Thriller"
3428,Banshee,2013–2016,"Action, Crime, Drama"
3429,Un cadáver para sobrevivir,2016,"Comedy, Drama, Fantasy"
3430,Foundation,2021– ,"Drama, Sci-Fi"
3431,Crepúsculo,I) (2008,"Drama, Fantasy, Romance"
3432,Cha Cha Real Smooth,2022,"Comedy, Drama"
3433,Vigilados,2011–2016,"Action, Crime, Drama"
3434,Vera,2011– ,"Crime, Drama, Mystery"
3435,The Leftovers,2014–2017,"Drama, Fantasy, Mystery"
3436,Un lugar para soñar,2019– ,"Drama, Romance"
3437,After Life: Más allá de mi mujer,2019–2022,"Comedy, Drama"
3438,Batman: El caballero de la noche asciende,2012,"Action, Crime, Drama"
3439,The Waltons,1972–1981,"Drama, Family, Romance"
3440,Walker,2021– ,"Action, Crime, Drama"
3441,Irreversible,2002,"Crime, Drama, Mystery"
3442,See,2019– ,"Action, Drama, Sci-Fi"
3443,Pacto criminal,2015,"Biography, Crime, Drama"
3444,Hermosa venganza,2020,"Crime, Drama, Mystery"
3445,Baile caliente,I) (1987,"Drama, Music, Romance"
3446,Romeo + Julieta,1996,"Drama, Romance"
3447,The Golden Girls,1985–1992,"Comedy, Drama"
3448,Boardwalk Empire. El Imperio del Contrabando,2010–2014,"Crime, Drama, History"
3449,Llámame por tu nombre,2017,"Drama, Romance"
3450,Life & Beth,2022– ,"Comedy, Drama"
3451,Dunkerque,2017,"Action, Drama, History"
3452,El código enigma,2014,"Biography, Drama, Thriller"
3453,Picardías estudiantiles,1982,"Comedy, Drama"
3454,Gossip Girl,2007–2012,"Drama, Romance"
3455,The Kashmir Files,2022,Drama
3456,The Old Man,2022– ,"Action, Drama, Thriller"
3457,La casita de la pradera,1974–1983,"Drama, Family, Romance"
3458,El gran truco,2006,"Drama, Mystery, Thriller"
3459,His Dark Materials,2019–2022,"Adventure, Drama, Family"
3460,Avenida Cloverfield 10,2016,"Action, Drama, Horror"
3461,Muerte Misteriosa,2017,"Crime, Drama, Mystery"
3462,La maldición de Hill House,2018,"Drama, Horror, Mystery"
3463,El diablo a todas horas,2020,"Crime, Drama, Thriller"
3464,"Kids, vidas perdidas",1995,Drama
3465,Ven y mira,1985,"Drama, Thriller, War"
3466,Chicas buenas,2018–2021,"Comedy, Crime, Drama"
3467,The Split,2018–2022,Drama
3468,Picos gemelos,1990–1991,"Crime, Drama, Mystery"
3469,Diario de una pasión,2004,"Drama, Romance"
3470,Batman inicia,2005,"Action, Crime, Drama"
3471,Entourage,2004–2011,"Comedy, Drama"
3472,Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
3473,Nine Perfect Strangers,2021–2022,"Drama, Mystery, Thriller"
3474,iCarly,2021– ,"Comedy, Drama, Romance"
3475,El joven manos de tijera,1990,"Drama, Fantasy, Romance"
3476,Uncut Gems,2019,"Crime, Drama, Thriller"
3477,Lolita: Una pasión prohibida,1997,"Drama, Romance"
3478,Dexter: New Blood,2021–2022,"Crime, Drama, Mystery"
3479,Belleza americana,1999,Drama
3480,American Crime Story,2016– ,"Biography, Crime, Drama"
3481,The Truman Show: Historia de una vida,1998,"Comedy, Drama"
3482,Elige o muere,2022,"Drama, Horror, Thriller"
3483,El padrino 3,1990,"Crime, Drama"
3484,Cuenta conmigo,1986,"Adventure, Drama"
3485,MacGyver,2016–2021,"Action, Adventure, Drama"
3486,The Terror,2018–2019,"Adventure, Drama, History"
3487,Hannibal,2013–2015,"Crime, Drama, Horror"
3488,Carros de fuego,1981,"Biography, Drama, Sport"
3489,Endeavour,2012–2022,"Crime, Drama, Mystery"
3490,A Discovery of Witches,2018–2022,"Drama, Fantasy, Romance"
3491,Snowfall,2017– ,"Crime, Drama"
3492,Friday Night Lights,2006–2011,"Drama, Sport"
3493,Firefly,2002–2003,"Adventure, Drama, Sci-Fi"
3494,"Bohemian Rhapsody, la historia de Freddie Mercury",2018,"Biography, Drama, Music"
3495,Mayor of Kingstown,2021– ,"Crime, Drama, Thriller"
3496,El sonido de la magia,2022– ,"Drama, Fantasy, Music"
3497,Agatha Raisin,2014– ,"Comedy, Crime, Drama"
3498,La laguna azul,1980,"Adventure, Drama, Romance"
3499,Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
3500,El abogado del Lincoln,2022– ,"Crime, Drama, Mystery"
3501,Candy,2022,"Biography, Crime, Drama"
3502,La escalera,2022,"Biography, Crime, Drama"
3503,Stranger Things,2016– ,"Drama, Fantasy, Horror"
3504,"Love, Death & Robots",2019– ,"Animation, Short, Action"
3505,Chip y Dale: Al rescate,2022,"Animation, Adventure, Comedy"
3506,Batman,2022,"Action, Crime, Drama"
3507,Severance,2022– ,"Drama, Mystery, Sci-Fi"
3508,Por mandato del cielo,2022,"Crime, Drama, Mystery"
3509,Viejos,2021,"Drama, Horror, Mystery"
3510,Outer Range,2022– ,"Drama, Mystery, Thriller"
3511,The Flight Attendant,2020– ,"Comedy, Drama, Mystery"
3512,Night Sky,2022– ,"Adventure, Drama, Fantasy"
3513,Muerte En El Nilo,2022,"Crime, Drama, Mystery"
3514,The Blacklist,2013– ,"Crime, Drama, Mystery"
3515,The Wilds,2020– ,"Adventure, Drama, Mystery"
3516,NCIS: Criminología Naval,2003– ,"Action, Crime, Drama"
3517,Luminosas,2022– ,"Crime, Drama, Mystery"
3518,The Lincoln Lawyer,2011,"Crime, Drama, Mystery"
3519,La ley y el orden: Unidad de Victimas Especiales,1999– ,"Crime, Drama, Mystery"
3520,Black Mirror,2011–2019,"Drama, Mystery, Sci-Fi"
3521,Westworld,2016– ,"Drama, Mystery, Sci-Fi"
3522,Supernatural,2005–2020,"Drama, Fantasy, Horror"
3523,Clark,2022,"Action, Comedy, Crime"
3524,Big Sky,2020– ,"Crime, Drama, Mystery"
3525,Mentes Criminales,2005–2020,"Crime, Drama, Mystery"
3526,¿Qué pasó con Sara?,2021–2022,"Crime, Drama, Mystery"
3527,La Chica Salvaje,2022,"Drama, Mystery"
3528,Muñeca rusa,2019– ,"Comedy, Drama, Mystery"
3529,Law & Order,1990– ,"Crime, Drama, Mystery"
3530,El mentalista,2008–2015,"Crime, Drama, Mystery"
3531,The Outfit,2022,"Crime, Drama, Mystery"
3532,Riverdale,2017–2023,"Crime, Drama, Mystery"
3533,Castle,2009–2016,"Comedy, Crime, Drama"
3534,F.B.I.,2018– ,"Action, Crime, Drama"
3535,True Detective,2014–2019,"Crime, Drama, Mystery"
3536,Monstrous,2022,"Horror, Mystery, Thriller"
3537,Los asesinatos de Midsomer,1997– ,"Crime, Drama, Mystery"
3538,Dr. House,2004–2012,"Drama, Mystery"
3539,Lost,2004–2010,"Adventure, Drama, Fantasy"
3540,The Equalizer,2021– ,"Action, Crime, Drama"
3541,The Witcher,2019– ,"Action, Adventure, Drama"
3542,The Vampire Diaries,2009–2017,"Drama, Fantasy, Horror"
3543,Scream (Grita),I) (2022,"Horror, Mystery, Thriller"
3544,Blue Bloods,2010– ,"Crime, Drama, Mystery"
3545,Death in Paradise,2011– ,"Comedy, Crime, Drama"
3546,Only Murders in the Building,2021– ,"Comedy, Crime, Drama"
3547,Spy x Family,2022– ,"Animation, Action, Comedy"
3548,Midsommar: el terror no espera la noche,2019,"Drama, Horror, Mystery"
3549,La Bruja,2015,"Drama, Fantasy, History"
3550,Los expedientes secretos X,1993–2018,"Crime, Drama, Mystery"
3551,Bones,2005–2017,"Comedy, Crime, Drama"
3552,Legacies,2018–2022,"Adventure, Drama, Fantasy"
3553,London Fields,2018,"Crime, Mystery, Thriller"
3554,De uskyldige,2021,"Drama, Fantasy, Horror"
3555,The Expanse,2015–2022,"Drama, Mystery, Sci-Fi"
3556,Killers of the Flower Moon,2022,"Crime, Drama, History"
3557,Aguas Profundas,2022,"Drama, Mystery, Thriller"
3558,Love and Death,2022– ,"Biography, Crime, Drama"
3559,Yellowjackets,2021– ,"Drama, Horror, Mystery"
3560,Grace,2021– ,"Crime, Drama, Mystery"
3561,Resurrection,2022,"Crime, Drama, Horror"
3562,Sherlock,2010–2017,"Crime, Drama, Mystery"
3563,Asesinato en el Expreso de Oriente,2017,"Crime, Drama, Mystery"
3564,Dark,2017–2020,"Crime, Drama, Mystery"
3565,Entre navajas y secretos,2019,"Comedy, Crime, Drama"
3566,The Sandman,2022– ,"Drama, Fantasy, Horror"
3567,Dexter,2006–2013,"Crime, Drama, Mystery"
3568,Los 100,2014–2020,"Drama, Mystery, Sci-Fi"
3569,La Casa de Papel,2017–2021,"Action, Crime, Drama"
3570,El faro,I) (2019,"Drama, Fantasy, History"
3571,Blade Runner 2049,2017,"Action, Drama, Mystery"
3572,Corre,I) (2020,"Mystery, Thriller"
3573,NCIS: Hawai'i,2021– ,"Action, Crime, Mystery"
3574,Hawkeye,2021,"Action, Adventure, Crime"
3575,From,2022– ,"Drama, Horror, Mystery"
3576,Ley y orden: crimen organizado,2021– ,"Crime, Drama, Mystery"
3577,True Blood,2008–2014,"Drama, Fantasy, Mystery"
3578,FBI: Most Wanted,2020– ,"Action, Crime, Drama"
3579,Viajeros en el tiempo,1989–1993,"Action, Adventure, Drama"
3580,¿Sabes quién es?,2022– ,"Crime, Drama, Mystery"
3581,The Sinner,2017–2021,"Crime, Drama, Mystery"
3582,Gotham,2014–2019,"Action, Crime, Drama"
3583,Ojos bien cerrados,1999,"Drama, Mystery, Thriller"
3584,El misterio de Soho,2021,"Drama, Horror, Mystery"
3585,La reportera del crimen,1984–1996,"Crime, Drama, Mystery"
3586,Amphibia,2019–2022,"Animation, Action, Adventure"
3587,Ms. Marvel,2022– ,"Action, Adventure, Comedy"
3588,CSI: Crime Scene Investigation,2000–2015,"Crime, Drama, Mystery"
3589,Fringe,2008–2013,"Drama, Mystery, Sci-Fi"
3590,42 días en la oscuridad,2022– ,"Crime, Drama, Mystery"
3591,"Seven, los siete pecados capitales",1995,"Crime, Drama, Mystery"
3592,Perry Mason,1957–1966,"Crime, Drama, Mystery"
3593,Manifest,2018– ,"Drama, Mystery, Sci-Fi"
3594,Prison Break,2005–2017,"Action, Crime, Drama"
3595,Midhunter,2017–2019,"Crime, Drama, Mystery"
3596,Vampire in the Garden,2022– ,"Animation, Action, Adventure"
3597,Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
3598,Psych,2006–2014,"Comedy, Crime, Mystery"
3599,Upload,2020– ,"Comedy, Mystery, Sci-Fi"
3600,Arrow,2012–2020,"Action, Adventure, Crime"
3601,The Good Place,2016–2020,"Comedy, Drama, Fantasy"
3602,Now and Then,2022– ,"Crime, Drama, Mystery"
3603,Homeland,2011–2020,"Crime, Drama, Mystery"
3604,Perdida,2014,"Drama, Mystery, Thriller"
3605,The Baby,2022,"Comedy, Horror, Mystery"
3606,Nuevos policías,1987–1991,"Crime, Drama, Mystery"
3607,El legado del diablo,2018,"Drama, Horror, Mystery"
3608,El juego del calamar,2021– ,"Action, Drama, Mystery"
3609,Murdoch Mysteries,2008– ,"Crime, Drama, Mystery"
3610,The Owl House,2020– ,"Animation, Action, Adventure"
3611,All the Old Knives,2022,"Mystery, Thriller"
3612,Inside No. 9,2014– ,"Comedy, Crime, Drama"
3613,Pretty Little Liars (Lindas Mentirosas),2010– ,"Drama, Mystery, Romance"
3614,Why Didn't They Ask Evans?,2022,"Mystery, Thriller"
3615,Taboo,2017– ,"Drama, Mystery, Thriller"
3616,Yegua de Easttown,2021,"Crime, Drama, Mystery"
3617,Misa de medianoche,2021,"Drama, Fantasy, Horror"
3618,Avatar: la leyenda de Aang,2005–2008,"Animation, Action, Adventure"
3619,Poirot,1989–2013,"Crime, Drama, Mystery"
3620,Sombra y hueso,2021– ,"Action, Adventure, Drama"
3621,Father Brown,2013– ,"Crime, Drama, Mystery"
3622,Monk,2002–2009,"Comedy, Crime, Drama"
3623,La Casa Oscura,2020,"Horror, Mystery, Thriller"
3624,Reminiscencia,2021,"Mystery, Romance, Sci-Fi"
3625,Line of Duty,2012–2021,"Crime, Drama, Mystery"
3626,El hombre invisible,I) (2020,"Drama, Horror, Mystery"
3627,Apocalipsis,1979,"Drama, Mystery, War"
3628,Fast X,2023,"Action, Crime, Mystery"
3629,Hechiceras,1998–2006,"Drama, Fantasy, Mystery"
3630,Estación Once,2021–2022,"Adventure, Drama, Fantasy"
3631,Columbo,1971–2003,"Crime, Drama, Mystery"
3632,Los originales,2013–2018,"Drama, Fantasy, Horror"
3633,Intriga,2013,"Crime, Drama, Mystery"
3634,Criaturas salvajes,1998,"Crime, Drama, Mystery"
3635,How to Get Away with Murder,2014–2020,"Crime, Drama, Mystery"
3636,Outer Banks,2020– ,"Action, Crime, Drama"
3637,Esposas desesperadas,2004–2012,"Comedy, Drama, Mystery"
3638,Big Little Lies,2017–2019,"Crime, Drama, Mystery"
3639,FBI: International,2021– ,"Action, Adventure, Crime"
3640,Resident Alien,2021– ,"Comedy, Drama, Mystery"
3641,Un pequeño favor,2018,"Comedy, Crime, Mystery"
3642,Silent Witness,1996– ,"Crime, Drama, Mystery"
3643,Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
3644,El buen mentiroso,2019,"Crime, Drama, Mystery"
3645,Milagros inesperados,1999,"Crime, Drama, Fantasy"
3646,Aniquilación,I) (2018,"Adventure, Drama, Horror"
3647,Batman Unburied,2021 Podcast Series,"Short, Adventure, Crime"
3648,Banshee,2013–2016,"Action, Crime, Drama"
3649,Vigilados,2011–2016,"Action, Crime, Drama"
3650,¡Huye!,I) (2017,"Horror, Mystery, Thriller"
3651,Vera,2011– ,"Crime, Drama, Mystery"
3652,The Leftovers,2014–2017,"Drama, Fantasy, Mystery"
3653,Irreversible,2002,"Crime, Drama, Mystery"
3654,Hermosa venganza,2020,"Crime, Drama, Mystery"
3655,Hocus Pocus 2,2022,"Comedy, Family, Fantasy"
3656,El gran truco,2006,"Drama, Mystery, Thriller"
3657,Muerte Misteriosa,2017,"Crime, Drama, Mystery"
3658,La maldición de Hill House,2018,"Drama, Horror, Mystery"
3659,Picos gemelos,1990–1991,"Crime, Drama, Mystery"
3660,Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
3661,Nine Perfect Strangers,2021–2022,"Drama, Mystery, Thriller"
3662,Dexter: New Blood,2021–2022,"Crime, Drama, Mystery"
3663,Scream: grita antes de morir,1996,"Horror, Mystery"
3664,MacGyver,2016–2021,"Action, Adventure, Drama"
3665,Hannibal,2013–2015,"Crime, Drama, Horror"
3666,Endeavour,2012–2022,"Crime, Drama, Mystery"
3667,La isla siniestra,2010,"Mystery, Thriller"
3668,Agatha Raisin,2014– ,"Comedy, Crime, Drama"
3669,13 Reasons Why,2017–2020,"Drama, Mystery, Thriller"
3670,El Padre,I) (2020,"Drama, Mystery"
3671,Los voyeristas,2021,"Drama, Mystery, Thriller"
3672,El Día Después,2022– ,"Comedy, Crime, Mystery"
3673,Grimm,2011–2017,"Crime, Drama, Fantasy"
3674,Oldboy: Días de venganza,2013,"Action, Drama, Mystery"
3675,Tierra de nadie: Sicario,2015,"Action, Crime, Drama"
3676,Elementary,2012–2019,"Crime, Drama, Mystery"
3677,Prometeo,I) (2012,"Adventure, Mystery, Sci-Fi"
3678,Mystery Incorporated,2022– ,"Crime, Drama, Mystery"
3679,Servant,2019– ,"Drama, Horror, Mystery"
3680,The Americans,2013–2018,"Crime, Drama, Mystery"
3681,Harry Potter y el cáliz de fuego,2005,"Adventure, Family, Fantasy"
3682,Hechiceras,2018–2022,"Drama, Fantasy, Mystery"
3683,Pig,I) (2021,"Drama, Mystery, Thriller"
3684,Gemelo Siniestro,2022,"Drama, Horror, Mystery"
3685,Doom Patrol,2019– ,"Action, Adventure, Comedy"
3686,Maligno,I) (2021,"Crime, Horror, Mystery"
3687,Donnie Darko,2001,"Drama, Mystery, Sci-Fi"
3688,Burn Notice,2007–2013,"Action, Crime, Drama"
3689,"Sueños, misterios y secretos",2001,"Drama, Mystery, Thriller"
3690,Oldboy: Cinco días para vengarse,2003,"Action, Drama, Mystery"
3691,Sospechosos comunes,1995,"Crime, Drama, Mystery"
3692,Terciopelo azul,1986,"Crime, Drama, Mystery"
3693,Ecos en la oscuridad,2006,"Horror, Mystery, Thriller"
3694,Harry Potter y las reliquias de la muerte 2,2011,"Adventure, Fantasy, Mystery"
3695,Covert Affairs,2010–2014,"Action, Crime, Drama"
3696,"Watchmen, los vigilantes",2009,"Action, Drama, Mystery"
3697,The Cursed,2021,"Fantasy, Horror, Mystery"
3698,Constantine,2005,"Action, Fantasy, Horror"
3699,La Brea,2021– ,"Drama, Mystery, Sci-Fi"
3700,Blonde,2022,"Biography, Drama, Mystery"
3701,White Collar,2009–2014,"Comedy, Crime, Drama"
3702,Agatha Christie's Marple,2004–2013,"Crime, Drama, Mystery"
3703,Last Seen Alive,2022,"Action, Mystery, Thriller"
3704,Los 8 más odiados,2015,"Crime, Drama, Mystery"
3705,Veronica Mars,2004–2019,"Crime, Drama, Mystery"
3706,El viaje de Chihiro,2001,"Animation, Adventure, Family"
3707,Ni una palabra,2022,"Crime, Drama, Mystery"
3708,La dimensión desconocida,1959–1964,"Drama, Fantasy, Horror"
3709,La chica del dragón tatuado,2011,"Crime, Drama, Mystery"
3710,Locke & Key,2020–2022,"Drama, Fantasy, Horror"
3711,Amnesia,2000,"Mystery, Thriller"
3712,Jack Reacher: Bajo la mira,2012,"Action, Mystery, Thriller"
3713,Viernes 13,1980,"Horror, Mystery, Thriller"
3714,Blindspot,2015–2020,"Action, Crime, Drama"
3715,Una película serbia,2010,"Horror, Mystery, Thriller"
3716,Perdidos en el espacio,2018–2021,"Adventure, Drama, Family"
3717,The Killing,2011–2014,"Crime, Drama, Mystery"
3718,Zootopía,2016,"Animation, Adventure, Comedy"
3719,Testigo,2000,"Drama, Fantasy, Horror"
3720,First Kill,2022– ,"Drama, Horror, Mystery"
3721,"Expiación, deseo y pecado",2007,"Drama, Mystery, Romance"
3722,Las 7 vidas de Léa,2022– ,"Crime, Drama, Fantasy"
3723,El abogado del Diablo,1997,"Drama, Mystery, Thriller"
3724,El sexto sentido,1999,"Drama, Mystery, Thriller"
3725,Divergente,2014,"Action, Adventure, Mystery"
3726,Jeepers Creepers: Reborn,2022,"Horror, Mystery, Thriller"
3727,Magnum,1980–1988,"Action, Adventure, Crime"
3728,The Tourist,2022,"Drama, Mystery, Thriller"
3729,Sense8,2015–2018,"Drama, Mystery, Sci-Fi"
3730,Scooby-Doo,2002,"Adventure, Comedy, Family"
3731,American Gods,2017–2021,"Drama, Fantasy, Mystery"
3732,The Good Wife,2009–2016,"Crime, Drama, Mystery"
3733,Evil,2019– ,"Crime, Drama, Horror"
3734,Untitled Scream Sequel,2023,"Horror, Mystery, Thriller"
3735,La leyenda del jinete sin cabeza,1999,"Fantasy, Horror, Mystery"
3736,NCIS: New Orleans,2014–2021,"Action, Crime, Drama"
3737,Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
3738,La mujer de la casa de enfrente de la chica en la ventana,2022,"Comedy, Crime, Drama"
3739,Fin de semana en Croacia,2022,"Crime, Drama, Mystery"
3740,El conjuro,2013,"Horror, Mystery, Thriller"
3741,Death Note,2006–2007,"Animation, Crime, Drama"
3742,Dark Glasses,2022,"Horror, Mystery, Thriller"
3743,Alicia regresa al país de las maravillas,I) (2010,"Adventure, Family, Fantasy"
3744,Carnival Row,2019– ,"Crime, Drama, Fantasy"
3745,Boda sangrienta,I) (2019,"Action, Comedy, Horror"
3746,Bajos instintos,1992,"Drama, Mystery, Thriller"
3747,El fugitivo,1993,"Action, Crime, Drama"
3748,Sin Salida,I) (2022,"Drama, Mystery, Thriller"
3749,Ley y orden: Acción criminal,2001–2011,"Crime, Drama, Mystery"
3750,Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
3751,Los ilusionistas: Nada es lo que parece,I) (2013,"Crime, Mystery, Thriller"
3752,DI Ray,2022– ,"Crime, Drama, Mystery"
3753,Quédate cerca,2021,"Crime, Drama, Mystery"
3754,Está detrás de ti,2014,"Horror, Mystery, Thriller"
3755,Maze Runner - Correr o Morir,2014,"Action, Mystery, Sci-Fi"
3756,El sacrificio del ciervo sagrado,2017,"Drama, Horror, Mystery"
3757,Shetland,2013– ,"Crime, Drama, Mystery"
3758,Caso abierto,2003–2010,"Crime, Drama, Mystery"
3759,CSI: Miami,2002–2012,"Action, Crime, Drama"
3760,Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
3761,Los Ángeles al desnudo,1997,"Crime, Drama, Mystery"
3762,Psicosis,1960,"Horror, Mystery, Thriller"
3763,Unforgotten,2015– ,"Crime, Drama, Mystery"
3764,Designated Survivor,2016–2019,"Action, Drama, Mystery"
3765,Suspiria: el maligno,I) (2018,"Drama, Fantasy, Horror"
3766,Alias,2001–2006,"Action, Drama, Mystery"
3767,Pequeños Secretos,2021,"Crime, Drama, Mystery"
3768,Sharp Objects,2018,"Crime, Drama, Mystery"
3769,The Outsider - El visitante,2020,"Crime, Drama, Fantasy"
3770,Archivo 81,2022,"Drama, Horror, Mystery"
3771,La cabaña del terror,2011,"Horror, Mystery, Thriller"
3772,Harry Potter y el prisionero de Azkaban,2004,"Adventure, Family, Fantasy"
3773,Al Filo Del Peligro,1997,"Drama, Mystery, Thriller"
3774,Sherlock Holmes,2009,"Action, Adventure, Mystery"
